diametro_pistao_mm,tipo_amortecimento,protecao_especial,clamping_unit,posicao_instalacao,horas_operacao,manutencao_realizada,curso_mm,modelo_cilindro,temperatura_ambiente_C,pressao_operacao_bar,velocidade_pistao_mm_s,pressao_entrada_sensor_bar,pressao_saida_sensor_bar,sensor_umidade_pct,vibracao_mm_s,delta_pressao_bar,vazamento_detectado,umidade_interna_detectada,desgaste_detectado,falha
32,P,Nenhuma,False,Inclinada,709,True,328,DSNU-32-328-P-A,58.5,3.87,950.1,4.29,3.36,29.8,11.64,0.9300000000000002,True,True,True,1
16,PPV,Nenhuma,False,Horizontal,395,False,133,DSNU-16-133-PPV-A,108.8,5.28,964.6,5.48,5.16,48.5,9.76,0.3200000000000003,False,True,True,1
40,PPV,R8,False,Vertical,911,False,42,DSNU-40-42-PPV-A,18.1,10.0,860.8,10.36,9.43,49.2,3.19,0.9299999999999997,True,True,False,1
20,P,R8,False,Inclinada,1360,True,135,DSNU-20-135-P-A,24.2,11.15,249.1,11.59,10.8,29.0,5.62,0.7899999999999991,True,True,True,1
32,P,R3,True,Inclinada,1004,True,42,DSNU-32-42-P-A,-7.7,7.54,300.4,7.65,6.73,0.1,0.12,0.9199999999999999,True,False,False,1
63,PPV,Nenhuma,False,Vertical,1622,True,164,DSNU-63-164-PPV-A,33.3,4.74,1195.3,5.140000000000001,4.470000000000001,45.0,10.41,0.6699999999999999,True,True,True,1
12,PPS,R3,False,Vertical,1165,False,105,DSNU-12-105-PPS-A,-19.4,3.05,128.5,3.4299999999999997,3.1899999999999995,28.5,4.84,0.2400000000000002,False,True,False,1
32,P,A6,True,Inclinada,316,True,283,DSNU-32-283-P-A,112.6,11.79,220.9,11.969999999999999,11.079999999999998,18.3,8.57,0.8900000000000006,True,True,True,1
40,PPV,R3,False,Inclinada,1734,True,58,DSNU-40-58-PPV-A,76.0,11.8,160.4,12.290000000000001,12.110000000000001,41.5,14.35,0.17999999999999972,False,True,True,1
20,PPS,A6,False,Horizontal,1581,True,302,DSNU-20-302-PPS-A,123.6,11.1,396.5,11.23,11.02,20.0,4.49,0.21000000000000085,False,True,False,1
16,P,R8,False,Horizontal,1823,True,66,DSNU-16-66-P-A,107.4,9.43,256.2,9.56,9.290000000000001,1.7,14.85,0.2699999999999996,False,False,True,1
40,PPS,R3,False,Inclinada,1550,True,25,DSNU-40-25-PPS-A,45.9,3.91,599.7,4.3,4.0,41.1,9.49,0.2999999999999998,False,True,True,1
40,PPV,Nenhuma,False,Horizontal,1579,True,73,DSNU-40-73-PPV-A,53.0,9.8,573.8,10.020000000000001,9.510000000000002,27.3,3.63,0.5099999999999998,True,True,False,1
12,P,Nenhuma,False,Inclinada,1424,False,117,DSNU-12-117-P-A,3.6,4.91,1082.3,5.08,4.37,16.9,6.55,0.71,True,True,True,1
25,PPS,Nenhuma,False,Inclinada,680,False,411,DSNU-25-411-PPS-A,44.3,3.92,46.5,4.01,3.0799999999999996,12.5,11.11,0.9300000000000002,True,True,True,1
20,P,R3,False,Horizontal,1333,False,129,DSNU-20-129-P-A,110.5,8.94,387.3,9.32,9.23,29.7,6.7,0.08999999999999986,False,True,True,1
10,PPS,Nenhuma,False,Horizontal,494,False,87,DSNU-10-87-PPS-A,-17.4,0.96,718.0,1.35,0.40000000000000013,10.4,1.03,0.95,True,True,False,1
40,PPV,R8,True,Vertical,555,True,330,DSNU-40-330-PPV-A,104.5,0.58,727.7,0.86,-0.06000000000000005,16.2,2.53,0.92,True,True,False,1
25,PPV,A6,False,Vertical,609,True,426,DSNU-25-426-PPV-A,26.1,5.38,578.8,5.859999999999999,5.81,31.8,11.87,0.04999999999999982,False,True,True,1
10,P,R3,False,Vertical,1796,False,52,DSNU-10-52-P-A,109.9,5.35,979.7,5.51,5.1499999999999995,44.1,9.73,0.3600000000000003,False,True,True,1
20,PPS,Nenhuma,False,Inclinada,108,False,153,DSNU-20-153-PPS-A,116.1,10.75,80.0,10.86,10.049999999999999,26.6,8.55,0.8100000000000005,True,True,True,1
8,P,Nenhuma,True,Horizontal,1818,True,54,DSNU-8-54-P-A,75.6,1.51,979.5,1.85,1.2400000000000002,38.0,2.51,0.6099999999999999,True,True,False,1
